Model,Dataset,R²,MSE,RMSE,MAE
HuberRegressor,Test,0.13847525613574596,277544128780.7773,526824.5711627138,430667.7717222558
RANSACRegressor,Train,-1.329750429288393,783804527269.6514,885327.3559930538,642153.3277193835
RANSACRegressor,Validation,-1.5513876782096014,793979876542.4591,891055.4845476566,640770.1766298143
RANSACRegressor,Test,-1.5946668074992698,835883755739.5259,914266.7858669732,657720.3873611437
PassiveAggressiveRegressor,Train,-0.1299591663988957,380155358753.94904,616567.4000090737,471624.331253385
PassiveAggressiveRegressor,Validation,-0.1453133075932822,356416128498.14996,597005.9702366049,461316.16823220026
PassiveAggressiveRegressor,Test,-0.1458463339345848,369139626845.85547,607568.6190430308,472152.17994425644
SGDRegressor,Train,0.15873334410992246,283029720796.7673,532005.3766615214,441891.9280098866
SGDRegressor,Validation,0.13556834924565409,269007074545.00195,518658.9192764374,424218.24276789796
SGDRegressor,Test,0.14843825587508552,274334502937.30438,523769.51318046794,430955.3248081627
KernelRidge_rbf,Train,0.4216853941554798,194564018767.25998,441094.11554367846,360853.90309603163
KernelRidge_rbf,Validation,0.31998727538984206,211616769863.90118,460018.22775179375,373009.97839365737
KernelRidge_rbf,Test,0.3342472621853565,214475283404.39243,463114.76267162163,377797.68465971196
KNeighborsRegressor,Train,0.5545579666467009,149861323337.17703,387119.26242073905,291892.3372991453
KNeighborsRegressor,Validation,0.2714842815721916,226710674005.62766,476141.4432767092,369527.33021652425
KNeighborsRegressor,Test,0.305118313066724,223859307325.94366,473137.72553659644,366184.6811608392
SVR_rbf,Train,-0.034275762755829,347964320599.31177,589885.006250635,474371.7924427438
SVR_rbf,Validation,-0.031631888466002955,321039004161.17426,566603.0393151578,458017.2953786265
SVR_rbf,Test,-0.038316131593681746,334498281325.7446,578358.2638172853,471527.0175692998
LinearSVR,Train,-3.2760334370554984,1438598025173.1184,1199415.701570193,1049840.5576068377
LinearSVR,Validation,-3.4867730949939135,1396262739082.1145,1181635.6202662962,1041665.6998394198
LinearSVR,Test,-3.445461809577975,1432125813860.4805,1196714.5916468473,1053551.7306837605
NuSVR,Train,-0.011467319135763931,340290811392.2152,583344.5048958764,475978.59810661466
NuSVR,Validation,-0.009349059405287186,314104692289.34656,560450.4369606171,458168.69873687765
